Rank,State,GrantperUGFTE
1,South Carolina,2189.88
2,Georgia,2031.67
3,Tennessee,1693.06
4,New Jersey,1411.72
5,Kentucky,1316.51
6,Louisiana,1308.77
7,New Mexico,1284.75
8,Washington,1269.35
9,California,1177
10,West Virginia,1141.8
11,Indiana,1112.99
12,New York,1112.71
13,Virginia,1112.15
14,Arkansas,948.47
15,Alaska,939.95
16,Minnesota,873.23
17,Texas,870.47
18,Pennsylvania,861.39
19,North Carolina,815.69
20,Illinois,745.18
21,"Washington, DC",716.45
22,Oklahoma,625.7
23,Vermont,570.22
24,Nevada,546.5
25,Wisconsin,543.42
26,Colorado,539.65
27,Florida,533.44
28,Missouri,515.19
29,Delaware,506.62
30,North Dakota,477.38
31,Oregon,463.15
32,Maryland,438.39
33,Iowa,388.04
34,Maine,384.47
35,Alabama,382.96
36,Massachusetts,298.19
37,Ohio,291.19
38,Michigan,283.94
39,Mississippi,272.97
40,Connecticut,268.71
41,Nebraska,227.7
42,Rhode Island,149.99
43,South Dakota,149.41
44,Idaho,127.12
45,Kansas,122.63
46,Hawaii,76.45
47,Utah,61.63
48,Arizona,58.01
49,Puerto Rico,44.58
50,Montana,34.28
51,New Hampshire,0
52,Wyoming,0